Date,BAB
2/5/2004,27515.68085
2/6/2004,27331.00272
2/9/2004,27392.38817
2/10/2004,27492.45862
2/11/2004,27511.6202
2/12/2004,27529.81086
2/13/2004,27715.53244
2/16/2004,27714.46254
2/17/2004,27772.67491
2/18/2004,27787.17387
2/19/2004,28002.49545
2/20/2004,28177.00669
2/23/2004,28493.60472
2/24/2004,28586.1799
2/25/2004,28517.68552
2/26/2004,28501.5657
2/27/2004,28655.8135
3/1/2004,28679.46715
3/2/2004,28733.57279
3/3/2004,28880.56128
3/4/2004,28808.88258
3/5/2004,29005.16603
3/8/2004,29241.62193
3/9/2004,29486.96245
3/10/2004,29646.72891
3/11/2004,29606.04262
3/12/2004,29515.36052
3/15/2004,29709.91865
3/16/2004,29778.40159
3/17/2004,29744.14689
3/18/2004,29833.00437
3/19/2004,29997.30925
3/22/2004,30262.46372
3/23/2004,30336.97636
3/24/2004,30263.24922
3/25/2004,29958.8103
3/26/2004,29910.51791
3/29/2004,29909.5454
3/30/2004,29938.77739
3/31/2004,30192.13373
4/1/2004,30202.25836
4/2/2004,29973.50974
4/5/2004,29802.50578
4/6/2004,29765.77419
4/7/2004,29796.38097
4/8/2004,29769.39696
4/9/2004,29768.22247
4/12/2004,29545.3695
4/13/2004,29351.43149
4/14/2004,29068.63316
4/15/2004,29423.6012
4/16/2004,29785.62714
4/19/2004,29608.41922
4/20/2004,29628.85192
4/21/2004,29454.529
4/22/2004,29540.3967
4/23/2004,29422.66435
4/26/2004,29446.24296
4/27/2004,29685.88478
4/28/2004,29836.2524
4/29/2004,30023.04038
4/30/2004,30198.936
5/3/2004,30308.31679
5/4/2004,30241.17947
5/5/2004,30232.84633
5/6/2004,30308.52823
5/7/2004,30060.81425
5/10/2004,29933.07243
5/11/2004,29793.57618
5/12/2004,29862.6268
5/13/2004,29830.63717
5/14/2004,30110.91475
5/17/2004,30307.31528
5/18/2004,30201.81158
5/19/2004,30092.68702
5/20/2004,30283.08363
5/21/2004,30298.23209
5/24/2004,30283.2562
5/25/2004,30254.27273
5/26/2004,30208.50204
5/27/2004,30216.1288
5/28/2004,30304.64479
5/31/2004,30303.44178
6/1/2004,30254.33739
6/2/2004,30318.22741
6/3/2004,30449.97993
6/4/2004,30343.12474
6/7/2004,30307.69008
6/8/2004,30274.51566
6/9/2004,30452.31877
6/10/2004,30571.19554
6/11/2004,30569.88237
6/14/2004,30606.94367
6/15/2004,30666.73353
6/16/2004,30775.68628
6/17/2004,30954.58078
6/18/2004,31008.56286
6/21/2004,31142.49497
6/22/2004,31019.31397
6/23/2004,30903.83083
6/24/2004,30960.15627
6/25/2004,30962.21426
6/28/2004,31020.21273
6/29/2004,30981.74354
6/30/2004,31061.14176
7/1/2004,31299.01362
7/2/2004,31587.59717
7/5/2004,31585.93519
7/6/2004,32015.04133
7/7/2004,32177.23458
7/8/2004,32294.81722
7/9/2004,32276.45209
7/12/2004,32468.21293
7/13/2004,32559.12726
7/14/2004,32715.35819
7/15/2004,32761.51254
7/16/2004,32991.88227
7/19/2004,33131.15442
7/20/2004,32987.70659
7/21/2004,33101.14375
7/22/2004,32847.18048
7/23/2004,32959.0569
7/26/2004,33009.76555
7/27/2004,32890.22062
7/28/2004,33049.50021
7/29/2004,32937.15298
7/30/2004,32915.68339
8/2/2004,32987.66491
8/3/2004,33382.57667
8/4/2004,33397.31752
8/5/2004,33393.10155
8/6/2004,33574.83964
8/9/2004,33589.92729
8/10/2004,33495.91233
8/11/2004,33693.36089
8/12/2004,33762.76545
8/13/2004,33799.56458
8/16/2004,33811.82528
8/17/2004,33645.37955
8/18/2004,33329.48846
8/19/2004,33335.18327
8/20/2004,33340.60991
8/23/2004,33249.08523
8/24/2004,33304.33058
8/25/2004,33219.64144
8/26/2004,33360.82378
8/27/2004,33365.38988
8/30/2004,33592.71305
8/31/2004,33801.87761
9/1/2004,33769.12248
9/2/2004,33808.27824
9/3/2004,34114.0953
9/6/2004,34111.96304
9/7/2004,34090.84776
9/8/2004,34182.6544
9/9/2004,34018.71212
9/10/2004,33801.49054
9/13/2004,33602.00343
9/14/2004,33602.02297
9/15/2004,33831.93475
9/16/2004,33831.31006
9/17/2004,33809.14228
9/20/2004,33845.47657
9/21/2004,33938.36277
9/22/2004,34139.43097
9/23/2004,34084.07725
9/24/2004,34303.20341
9/27/2004,34583.01627
9/28/2004,34724.15726
9/29/2004,34626.18132
9/30/2004,34805.0326
10/1/2004,34725.26672
10/4/2004,34456.45569
10/5/2004,34547.64531
10/6/2004,34669.08914
10/7/2004,34762.70324
10/8/2004,35088.33287
10/11/2004,35018.92163
10/12/2004,35083.70836
10/13/2004,34903.70689
10/14/2004,35076.93217
10/15/2004,35218.96456
10/18/2004,35073.87282
10/19/2004,34968.06674
10/20/2004,34995.31555
10/21/2004,34924.15876
10/22/2004,35121.83165
10/25/2004,35209.73748
10/26/2004,35397.63599
10/27/2004,35148.93646
10/28/2004,35163.26935
10/29/2004,35334.55178
11/1/2004,35217.8706
11/2/2004,35103.24398
11/3/2004,35372.83312
11/4/2004,35502.44034
11/5/2004,35455.70204
11/8/2004,35465.28174
11/9/2004,35513.06227
11/10/2004,35647.76134
11/11/2004,35722.22807
11/12/2004,35858.47025
11/15/2004,35707.60053
11/16/2004,35804.20169
11/17/2004,35663.24036
11/18/2004,35587.58428
11/19/2004,35964.45038
11/22/2004,36143.96317
11/23/2004,36218.21786
11/24/2004,36303.35944
11/25/2004,36300.69948
11/26/2004,36347.76175
11/29/2004,36327.42401
11/30/2004,36411.85637
12/1/2004,36275.46903
12/2/2004,36001.57741
12/3/2004,35898.70981
12/6/2004,35845.05518
12/7/2004,35819.70091
12/8/2004,36013.1362
12/9/2004,36094.16
12/10/2004,36138.22186
12/13/2004,36182.10546
12/14/2004,36128.57755
12/15/2004,36090.57735
12/16/2004,36272.02531
12/17/2004,36355.47313
12/20/2004,36602.40253
12/21/2004,36682.2664
12/22/2004,36640.58098
12/23/2004,36662.12247
12/24/2004,36659.00715
12/27/2004,36692.06505
12/28/2004,36702.96538
12/29/2004,36732.05991
12/30/2004,36858.72546
12/31/2004,36952.73345
1/3/2005,36797.1371
